,Character Count,WordCount
0,48,10
1,19,3
2,34,7
3,36,6
4,16,3
5,56,12
6,11,2
7,65,6
8,71,13
9,48,8
10,56,8
11,35,4
12,54,7
13,42,6
14,86,12
15,47,6
16,29,3
17,89,10
18,34,3
19,95,15
20,63,8
21,42,8
22,121,17
23,54,8
24,69,9
25,70,9
26,61,9
27,67,9
28,39,6
29,218,38
30,55,9
31,94,14
32,81,12
33,52,6
34,66,8
35,136,14
36,302,46
37,62,10
38,258,37
39,97,11
40,33,5
41,55,7
42,45,6
43,85,13
44,59,8
45,44,7
46,46,6
47,60,8
