Day,Hour,Count
Sun,00,1
Sun,13,2
Sun,21,1
Mon,16,1
Tue,22,2
Wed,01,1
Wed,17,1
Wed,21,1
Wed,22,1
Wed,23,1
Thu,00,1
Thu,10,4
Thu,12,1
Thu,14,1
Thu,15,1
Thu,17,1
Fri,00,1
Fri,10,2
Fri,10,2
Fri,15,1
Fri,16,1
Fri,23,1
Sat,11,1
Sat,22,1
