,Time,DataViz,MM16,SAP
1,0,3,0,0
2,1,1,0,0
3,2,0,0,0
4,3,0,0,0
5,4,0,0,0
6,5,0,0,0
7,6,0,0,0
8,7,0,0,1
9,8,0,0,0
10,9,0,6,3
11,10,6,3,0
12,11,3,0,1
13,12,1,0,8
14,13,2,0,6
15,14,1,0,2
16,15,2,1,6
17,16,2,1,5
18,17,2,2,3
19,18,0,0,0
20,19,0,0,0
21,20,0,2,0
22,21,2,0,4
23,22,4,0,4
24,23,2,0,2
