Day,Hour,Count
Mon,12,2
Mon,13,1
Mon,14,1
Mon,15,3
Mon,16,3
Mon,17,1
Mon,21,1
Mon,22,3
Mon,23,2
Tue,9,3
Tue,11,1
Tue,15,1
Tue,16,1
Tue,17,1
Tue,23,1
Wed,12,3
Wed,13,1
Wed,15,2
Wed,16,1
Wed,21,3
Wed,22,1
Wed,23,2
Thu,7,1
Thu,12,3
Thu,13,2
Thu,14,1
Thu,17,1
Sat,13,2
